id,TITLE,META_TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,condition,availability,root links,item_group_id,shape,length
JUICEGELS-0001,Blooming Tips Set,Blooming Tips Set - Square,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0001_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0001?shape=Square&length=Short,Juicegels_BloomingTipsSet_Square,Square,Short
JUICEGELS-0002,Blooming Tips Set,Blooming Tips Set - Square,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0002_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0002?shape=Square&length=Medium,Juicegels_BloomingTipsSet_Square,Square,Medium
JUICEGELS-0003,Blooming Tips Set,Blooming Tips Set - Square,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0003_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0003?shape=Square&length=Long,Juicegels_BloomingTipsSet_Square,Square,Long
JUICEGELS-0004,Blooming Tips Set,Blooming Tips Set - Oval,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0004_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0004?shape=Oval&length=Short,Juicegels_BloomingTipsSet_Oval,Oval,Short
JUICEGELS-0005,Blooming Tips Set,Blooming Tips Set - Oval,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0005_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0005?shape=Oval&length=Medium,Juicegels_BloomingTipsSet_Oval,Oval,Medium
JUICEGELS-0006,Blooming Tips Set,Blooming Tips Set - Oval,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0006_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0006?shape=Oval&length=Long,Juicegels_BloomingTipsSet_Oval,Oval,Long
JUICEGELS-0007,Blooming Tips Set,Blooming Tips Set - Stiletto,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0007_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0007?shape=Stiletto&length=Short,Juicegels_BloomingTipsSet_Stiletto,Stiletto,Short
JUICEGELS-0008,Blooming Tips Set,Blooming Tips Set - Stiletto,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0008_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0008?shape=Stiletto&length=Medium,Juicegels_BloomingTipsSet_Stiletto,Stiletto,Medium
JUICEGELS-0009,Blooming Tips Set,Blooming Tips Set - Stiletto,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0009_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0009?shape=Stiletto&length=Long,Juicegels_BloomingTipsSet_Stiletto,Stiletto,Long
JUICEGELS-0010,Blooming Tips Set,Blooming Tips Set - Coffin,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0010_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0010?shape=Coffin&length=Short,Juicegels_BloomingTipsSet_Coffin,Coffin,Short
