id,name,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,condition,availability,root links
JUICEGELS-0001,Blooming Tips Set,"French tips with branches and 3d flowers with pearl centre

- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,https://i.etsystatic.com/56882365/r/il/dcc25c/6613507633/il_fullxfull.6613507633_qqdk.jpg,https://i.etsystatic.com/56882365/r/il/581d85/6603451255/il_fullxfull.6603451255_tg7j.jpg,https://i.etsystatic.com/56882365/r/il/f92536/6555330384/il_fullxfull.6555330384_qzf9.jpg,https://i.etsystatic.com/56882365/r/il/5d9820/6555330394/il_fullxfull.6555330394_ivid.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/blooming-tips-set
JUICEGELS-0002,Stellar Shine Set,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://i.etsystatic.com/56882365/r/il/fb5498/7161299165/il_fullxfull.7161299165_fx9v.jpg,https://i.etsystatic.com/56882365/r/il/fcf99e/6603615867/il_fullxfull.6603615867_gl83.jpg,https://i.etsystatic.com/56882365/r/il/386a82/6555495342/il_fullxfull.6555495342_gllx.jpg,https://i.etsystatic.com/56882365/r/il/2886f9/6603615869/il_fullxfull.6603615869_4kcv.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/stellar-shine-set
JUICEGELS-0003,Kitty Stardust Set,"Pink base with silver metallic line art and 3d Hello Kitty charm

- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",18.5,GBP,20,"cute_press_on_nails,3d_gems,kawaii_nails,silver_nails,silver_nail_art,metallic_nails,hello_kitty,hello_kitty_nails,sanrio_nails,pink_nails",,https://i.etsystatic.com/56882365/r/il/2dc8d3/6638785981/il_fullxfull.6638785981_4i6f.jpg,https://i.etsystatic.com/56882365/r/il/581d85/6603451255/il_fullxfull.6603451255_tg7j.jpg,https://i.etsystatic.com/56882365/r/il/f92536/6555330384/il_fullxfull.6555330384_qzf9.jpg,https://i.etsystatic.com/56882365/r/il/5d9820/6555330394/il_fullxfull.6555330394_ivid.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/kitty-stardust-set
JUICEGELS-0004,Kuromi Stardust Set,"Black base with silver metallic line art and 3d kuromi charm

- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",18.5,GBP,20,"cute_press_on_nails,3d_gems,kawaii_nails,kuromi_nails,sanrio_nails,kuromi,black_nails,silver_nails,silver_nail_art,metallic_nails",,https://i.etsystatic.com/56882365/r/il/8ed1a0/6638779851/il_fullxfull.6638779851_jsj5.jpg,https://i.etsystatic.com/56882365/r/il/581d85/6603451255/il_fullxfull.6603451255_tg7j.jpg,https://i.etsystatic.com/56882365/r/il/f92536/6555330384/il_fullxfull.6555330384_qzf9.jpg,https://i.etsystatic.com/56882365/r/il/5d9820/6555330394/il_fullxfull.6555330394_ivid.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/kuromi-stardust-set
JUICEGELS-0005,Periwinkle Pearls Set,"Short almond Purple Set with French Tip Pearls and 3D Bow Charm

- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",13.5,GBP,20,"press_on_nails,purple_nails,gel_nails,gel_press_on_nails,coquette_nails,valentines_nails,cute_nails,pearl_nails,bow_nails",,https://i.etsystatic.com/56882365/r/il/6cec32/6580479228/il_fullxfull.6580479228_th6r.jpg,https://i.etsystatic.com/56882365/r/il/ba8058/6628598655/il_fullxfull.6628598655_8vj8.jpg,https://i.etsystatic.com/56882365/r/il/71e3ce/6580479548/il_fullxfull.6580479548_ffqd.jpg,https://i.etsystatic.com/56882365/r/il/21df02/6628598665/il_fullxfull.6628598665_2jp5.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/periwinkle-pearls-set
JUICEGELS-0006,Lover's Tips Set,"red french tips with reflective red heart and white 3d bow charm
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",13.5,GBP,20,"valentines_nails,hearts_nails,gel_press_ons,valentines_press_ons,red_french_tip,press_on_nails",,https://i.etsystatic.com/56882365/r/il/39b636/6628011079/il_fullxfull.6628011079_sxnx.jpg,https://i.etsystatic.com/56882365/r/il/4ea999/6555521134/il_fullxfull.6555521134_6psu.jpg,https://i.etsystatic.com/56882365/r/il/5a422c/6603641963/il_fullxfull.6603641963_gyit.jpg,https://i.etsystatic.com/56882365/r/il/02267e/6555521138/il_fullxfull.6555521138_ki8l.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/lover-s-tips-set
JUICEGELS-0007,Soft Swirl set,"Nude base with blue straight tip and white graphic lining
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",8.5,GBP,20,"graphic_nails,gel_press_on_nails,gel_nails,press_on_nails,press_ons,nail_art",,https://i.etsystatic.com/56882365/r/il/685a03/6555480732/il_fullxfull.6555480732_g6qu.jpg,https://i.etsystatic.com/56882365/r/il/0b3c89/6555480708/il_fullxfull.6555480708_km34.jpg,https://i.etsystatic.com/56882365/r/il/574bd3/6555480704/il_fullxfull.6555480704_fuyo.jpg,https://i.etsystatic.com/56882365/r/il/8618e6/6555480734/il_fullxfull.6555480734_cj16.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/soft-swirl-set
JUICEGELS-0008,Ballerina Blush Set,"Ballerina-inspired pale base with pearls, rose gold shimmer nail and 3d bow charm
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"ballerina_nails,gel_x_nails,press_on_nails,gel_press_on_nails,cute_nails,pink_nails,bow_nails",,https://i.etsystatic.com/56882365/r/il/c7ed17/6555470178/il_fullxfull.6555470178_rihh.jpg,https://i.etsystatic.com/56882365/r/il/d92087/6603590697/il_fullxfull.6603590697_ihw4.jpg,https://i.etsystatic.com/56882365/r/il/a0b4e0/6603590695/il_fullxfull.6603590695_jgea.jpg,https://i.etsystatic.com/56882365/r/il/221a8d/6603590699/il_fullxfull.6603590699_lqif.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/ballerina-blush-set
JUICEGELS-0009,Bearly Blushing Set,"Clear coat, pink hearts, pearls, 3d pale pink bow, and 3d charm of a white bear
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",18,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,https://i.etsystatic.com/56882365/r/il/976f7a/6603451077/il_fullxfull.6603451077_fscj.jpg,https://i.etsystatic.com/56882365/r/il/581d85/6603451255/il_fullxfull.6603451255_tg7j.jpg,https://i.etsystatic.com/56882365/r/il/f92536/6555330384/il_fullxfull.6555330384_qzf9.jpg,https://i.etsystatic.com/56882365/r/il/5d9820/6555330394/il_fullxfull.6555330394_ivid.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/bearly-blushing-set
JUICEGELS-0010,Modern Muse Set,"Cute abstract matte moment
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",14.5,GBP,20,"modern_nails,art_nails,gel_press_ons,gel_nails,press_on_nails,cute_nails",,https://i.etsystatic.com/56882365/r/il/e1cc0c/6603378285/il_fullxfull.6603378285_dlm0.jpg,https://i.etsystatic.com/56882365/r/il/103b75/6555302746/il_fullxfull.6555302746_9nm7.jpg,https://i.etsystatic.com/56882365/r/il/51b8cf/6603423517/il_fullxfull.6603423517_3e9n.jpg,https://i.etsystatic.com/56882365/r/il/d7ead9/6555302744/il_fullxfull.6555302744_b3nm.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/modern-muse-set
JUICEGELS-0011,Pink Bloom Set,"Pink Glitter Gel Press-On Nails with 3D Flower Charms

- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the measuring method for true-to-fit sizes 
- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"press_on_nails,gel_x_nails,pink_flower_nails,flower_nails,3dcharms",,https://i.etsystatic.com/56882365/r/il/7a4915/6551503786/il_fullxfull.6551503786_402t.jpg,https://i.etsystatic.com/56882365/r/il/5325a1/6555240392/il_fullxfull.6555240392_9bhe.jpg,https://i.etsystatic.com/56882365/r/il/cc52fb/6555240538/il_fullxfull.6555240538_cnmy.jpg,https://i.etsystatic.com/56882365/r/il/a280c7/6555240598/il_fullxfull.6555240598_5fmt.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/pink-bloom-set
JUICEGELS-0012,Love Dot Set,"White base with reflective hearts
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",15,GBP,20,"valentines_nails,hearts_nails,vanetines_press_ons,gel_nails,heart_nails,heart_press_ons,cute_nails,press_on_nails",,https://i.etsystatic.com/56882365/r/il/df592f/7169843447/il_fullxfull.7169843447_8uol.jpg,https://i.etsystatic.com/56882365/r/il/f02630/6603634427/il_fullxfull.6603634427_4f3p.jpg,https://i.etsystatic.com/56882365/r/il/281d1a/6555513436/il_fullxfull.6555513436_lwok.jpg,https://i.etsystatic.com/56882365/r/il/ed6bcc/6603634429/il_fullxfull.6603634429_4r2h.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/love-dot-set
JUICEGELS-0013,BluePrint Set,"skin toned nail with blue graphic design and white outline
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",8.5,GBP,20,"graphic_nails,art_nails,press_on_nails,gel_press_on_nails,blue_press_on_nails,blue_gel_nails",,https://i.etsystatic.com/56882365/r/il/02ba5e/6603541147/il_fullxfull.6603541147_9xdr.jpg,https://i.etsystatic.com/56882365/r/il/9b53c8/6603541455/il_fullxfull.6603541455_m9m9.jpg,https://i.etsystatic.com/56882365/r/il/20b658/6603541461/il_fullxfull.6603541461_qfuo.jpg,https://i.etsystatic.com/56882365/r/il/c3b8eb/6555421138/il_fullxfull.6555421138_2my7.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/blueprint-set
