id,TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,condition,availability,root links
JUICEGELS-0001,Blooming Tips Set,"French tips with branches and 3d flowers with pearl centre

- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,../../../public/images/products/il_fullxfull.6613507633_qqdk.jpg,../../../public/images/products/il_fullxfull.6603451255_tg7j.jpg,../../../public/images/products/il_fullxfull.6555330384_qzf9.jpg,../../../public/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/blooming-tips-set
JUICEGELS-0002,Stellar Shine Set,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,../../../public/images/products/il_fullxfull.7161299165_fx9v.jpg,../../../public/images/products/il_fullxfull.6603615867_gl83.jpg,../../../public/images/products/il_fullxfull.6555495342_gllx.jpg,../../../public/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/stellar-shine-set
JUICEGELS-0003,Kitty Stardust Set,"Pink base with silver metallic line art and 3d Hello Kitty charm

- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",18.5,GBP,20,"cute_press_on_nails,3d_gems,kawaii_nails,silver_nails,silver_nail_art,metallic_nails,hello_kitty,hello_kitty_nails,sanrio_nails,pink_nails",,../../../public/images/products/il_fullxfull.6638785981_4i6f.jpg,../../../public/images/products/il_fullxfull.6603451255_tg7j.jpg,../../../public/images/products/il_fullxfull.6555330384_qzf9.jpg,../../../public/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/kitty-stardust-set
JUICEGELS-0004,Kuromi Stardust Set,"Black base with silver metallic line art and 3d kuromi charm

- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",18.5,GBP,20,"cute_press_on_nails,3d_gems,kawaii_nails,kuromi_nails,sanrio_nails,kuromi,black_nails,silver_nails,silver_nail_art,metallic_nails",,../../../public/images/products/il_fullxfull.6638779851_jsj5.jpg,../../../public/images/products/il_fullxfull.6603451255_tg7j.jpg,../../../public/images/products/il_fullxfull.6555330384_qzf9.jpg,../../../public/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/kuromi-stardust-set
JUICEGELS-0005,Periwinkle Pearls Set,"Short almond Purple Set with French Tip Pearls and 3D Bow Charm

- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",13.5,GBP,20,"press_on_nails,purple_nails,gel_nails,gel_press_on_nails,coquette_nails,valentines_nails,cute_nails,pearl_nails,bow_nails",,../../../public/images/products/il_fullxfull.6580479228_th6r.jpg,../../../public/images/products/il_fullxfull.6628598655_8vj8.jpg,../../../public/images/products/il_fullxfull.6580479548_ffqd.jpg,../../../public/images/products/il_fullxfull.6628598665_2jp5.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/periwinkle-pearls-set
JUICEGELS-0006,Lover's Tips Set,"red french tips with reflective red heart and white 3d bow charm
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",13.5,GBP,20,"valentines_nails,hearts_nails,gel_press_ons,valentines_press_ons,red_french_tip,press_on_nails",,../../../public/images/products/il_fullxfull.6628011079_sxnx.jpg,../../../public/images/products/il_fullxfull.6555521134_6psu.jpg,../../../public/images/products/il_fullxfull.6603641963_gyit.jpg,../../../public/images/products/il_fullxfull.6555521138_ki8l.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/lover-s-tips-set
JUICEGELS-0007,Soft Swirl set,"Nude base with blue straight tip and white graphic lining
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",8.5,GBP,20,"graphic_nails,gel_press_on_nails,gel_nails,press_on_nails,press_ons,nail_art",,../../../public/images/products/il_fullxfull.6555480732_g6qu.jpg,../../../public/images/products/il_fullxfull.6555480708_km34.jpg,../../../public/images/products/il_fullxfull.6555480704_fuyo.jpg,../../../public/images/products/il_fullxfull.6555480734_cj16.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/soft-swirl-set
JUICEGELS-0008,Ballerina Blush Set,"Ballerina-inspired pale base with pearls, rose gold shimmer nail and 3d bow charm
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"ballerina_nails,gel_x_nails,press_on_nails,gel_press_on_nails,cute_nails,pink_nails,bow_nails",,../../../public/images/products/il_fullxfull.6555470178_rihh.jpg,../../../public/images/products/il_fullxfull.6603590697_ihw4.jpg,../../../public/images/products/il_fullxfull.6603590695_jgea.jpg,../../../public/images/products/il_fullxfull.6603590699_lqif.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/ballerina-blush-set
JUICEGELS-0009,Bearly Blushing Set,"Clear coat, pink hearts, pearls, 3d pale pink bow, and 3d charm of a white bear
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",18,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,../../../public/images/products/il_fullxfull.6603451077_fscj.jpg,../../../public/images/products/il_fullxfull.6603451255_tg7j.jpg,../../../public/images/products/il_fullxfull.6555330384_qzf9.jpg,../../../public/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/bearly-blushing-set
JUICEGELS-0010,Modern Muse Set,"Cute abstract matte moment
- Handmade
- Available shapes: square, oval, stiletto, coffin
- Please send your nail sizes using the provided measuring method for true-to-fit sizes
- Includes mini nail file & wooden cuticle pusher",14.5,GBP,20,"modern_nails,art_nails,gel_press_ons,gel_nails,press_on_nails,cute_nails",,../../../public/images/products/il_fullxfull.6603378285_dlm0.jpg,../../../public/images/products/il_fullxfull.6555302746_9nm7.jpg,../../../public/images/products/il_fullxfull.6603423517_3e9n.jpg,../../../public/images/products/il_fullxfull.6555302744_b3nm.jpg,,,,,,,,,,,,new,in stock,https://www.juicegels.com/modern-muse-set
